gene_id,transcript_id
ENSG00000113649,ENST00000296702
ENSG00000169252,ENST00000305988
ENSG00000113712,ENST00000261798
ENSG00000145901,ENST00000315050
ENSG00000145907,ENST00000356245
ENSG00000072786,ENST00000176763
ENSG00000175416,ENST00000310418
ENSG00000160867,ENST00000292408
ENSG00000131188,ENST00000323249
ENSG00000161011,ENST00000360718
ENSG00000197226,ENST00000355235
ENSG00000112679,ENST00000344450
ENSG00000137274,ENST00000380368
ENSG00000137203,ENST00000319516
ENSG00000078401,ENST00000379375
ENSG00000145990,ENST00000379278
ENSG00000050393,ENST00000359495
ENSG00000124766,ENST00000244745
ENSG00000112312,ENST00000230056
ENSG00000079691,ENST00000329474
ENSG00000197903,ENST00000356950
ENSG00000204574,ENST00000326195
ENSG00000137331,ENST00000259874
ENSG00000204389,ENST00000375651
ENSG00000204351,ENST00000375394
ENSG00000204287,ENST00000374982
ENSG00000204264,ENST00000374881
ENSG00000204257,ENST00000374843
ENSG00000204209,ENST00000266000
ENSG00000124664,ENST00000374037
ENSG00000112033,ENST00000311565
ENSG00000156711,ENST00000211287
ENSG00000124762,ENST00000244741
ENSG00000112576,ENST00000372987
ENSG00000137161,ENST00000372836
ENSG00000171453,ENST00000304004
ENSG00000146232,ENST00000275015
ENSG00000146072,ENST00000296861
ENSG00000112118,ENST00000229854
ENSG00000065308,ENST00000182527
ENSG00000112200,ENST00000357489
ENSG00000164414,ENST00000369552
ENSG00000198833,ENST00000435041
ENSG00000112249,ENST00000324696
ENSG00000118689,ENST00000343882
ENSG00000080546,ENST00000302071
ENSG00000155111,ENST00000323817
ENSG00000196591,ENST00000368632
ENSG00000152894,ENST00000368202
ENSG00000079819,ENST00000337057
ENSG00000028839,ENST00000237264
ENSG00000135525,ENST00000354570
ENSG00000120265,ENST00000367378
ENSG00000120437,ENST00000367048
ENSG00000197081,ENST00000356956
ENSG00000085511,ENST00000348824
ENSG00000112592,ENST00000230354
ENSG00000197461,ENST00000354513
ENSG00000164850,ENST00000297469
ENSG00000136240,ENST00000258739
ENSG00000106399,ENST00000223129
ENSG00000006468,ENST00000242066
ENSG00000136261,ENST00000258761
ENSG00000071189,ENST00000409076
ENSG00000172115,ENST00000305786
ENSG00000106004,ENST00000222726
ENSG00000253293,ENST00000283921
ENSG00000136193,ENST00000242059
ENSG00000106080,ENST00000222803
ENSG00000106355,ENST00000223084
ENSG00000006451,ENST00000005257
ENSG00000106605,ENST00000265523
ENSG00000106636,ENST00000223369
ENSG00000015676,ENST00000338427
ENSG00000105968,ENST00000222690
ENSG00000146674,ENST00000275521
ENSG00000185811,ENST00000331340
ENSG00000106070,ENST00000335866
ENSG00000146648,ENST00000275493
ENSG00000106635,ENST00000223368
ENSG00000106089,ENST00000222812
ENSG00000049541,ENST00000055077
ENSG00000106211,ENST00000248553
ENSG00000127947,ENST00000248594
ENSG00000127955,ENST00000351004
ENSG00000135164,ENST00000331242
ENSG00000157240,ENST00000287934
ENSG00000105810,ENST00000265734
ENSG00000004864,ENST00000265631
ENSG00000160917,ENST00000292476
ENSG00000106366,ENST00000223095
ENSG00000106397,ENST00000223127
ENSG00000214253,ENST00000223136
ENSG00000008282,ENST00000011473
ENSG00000091140,ENST00000205402
ENSG00000135269,ENST00000358204
ENSG00000004866,ENST00000265437
ENSG00000128595,ENST00000249364
ENSG00000106484,ENST00000223215
ENSG00000106144,ENST00000310447
ENSG00000106462,ENST00000320356
ENSG00000164867,ENST00000297494
ENSG00000106615,ENST00000262187
ENSG00000106617,ENST00000287878
ENSG00000186480,ENST00000340368
ENSG00000009335,ENST00000348165
ENSG00000105993,ENST00000262177
ENSG00000183943,ENST00000262848
ENSG00000123130,ENST00000336430
ENSG00000165169,ENST00000378578
ENSG00000147155,ENST00000276096
ENSG00000101945,ENST00000337852
ENSG00000094631,ENST00000334136
ENSG00000126768,ENST00000376582
ENSG00000243279,ENST00000376386
ENSG00000102007,ENST00000376322
ENSG00000072501,ENST00000322213
ENSG00000072506,ENST00000168216
ENSG00000188021,ENST00000338222
ENSG00000184481,ENST00000341558
ENSG00000067177,ENST00000339490
ENSG00000000003,ENST00000373020
ENSG00000010671,ENST00000308731
ENSG00000133142,ENST00000372629
ENSG00000157514,ENST00000315660
ENSG00000101843,ENST00000217958
ENSG00000131724,ENST00000371637
ENSG00000101856,ENST00000217971
ENSG00000077721,ENST00000346330
ENSG00000156697,ENST00000371042
ENSG00000102078,ENST00000218197
ENSG00000165704,ENST00000298556
ENSG00000102241,ENST00000218364
ENSG00000013619,ENST00000262858
ENSG00000147383,ENST00000370274
ENSG00000196976,ENST00000357360
ENSG00000175806,ENST00000317173
ENSG00000079459,ENST00000220584
ENSG00000078674,ENST00000325083
ENSG00000104763,ENST00000262097
ENSG00000130227,ENST00000252512
ENSG00000120896,ENST00000240123
ENSG00000104765,ENST00000380629
ENSG00000186918,ENST00000344423
ENSG00000120875,ENST00000240100
ENSG00000197265,ENST00000355904
ENSG00000187840,ENST00000338825
ENSG00000083168,ENST00000265713
ENSG00000104365,ENST00000342222
ENSG00000070501,ENST00000265421
ENSG00000221869,ENST00000408965
ENSG00000120992,ENST00000316963
ENSG00000254087,ENST00000420292
ENSG00000066855,ENST00000262146
ENSG00000179041,ENST00000320270
ENSG00000085719,ENST00000198765
ENSG00000104325,ENST00000220764
ENSG00000175305,ENST00000308108
ENSG00000156469,ENST00000287025
ENSG00000147669,ENST00000353107
ENSG00000182197,ENST00000378204
ENSG00000156787,ENST00000287380
ENSG00000164961,ENST00000318410
ENSG00000173334,ENST00000311922
ENSG00000136997,ENST00000259523
ENSG00000169398,ENST00000340930
ENSG00000104522,ENST00000425753
ENSG00000179950,ENST00000313352
ENSG00000178896,ENST00000316052
ENSG00000160948,ENST00000292510
ENSG00000164985,ENST00000380715
ENSG00000155876,ENST00000380527
ENSG00000137154,ENST00000315377
ENSG00000198642,ENST00000359039
ENSG00000147889,ENST00000304494
ENSG00000107140,ENST00000336395
ENSG00000165304,ENST00000298048
ENSG00000107338,ENST00000377700
ENSG00000135048,ENST00000377043
ENSG00000196781,ENST00000376463
ENSG00000135047,ENST00000340342
ENSG00000165025,ENST00000375746
ENSG00000165030,ENST00000297689
ENSG00000136891,ENST00000374902
ENSG00000070061,ENST00000374647
ENSG00000119326,ENST00000325551
ENSG00000136875,ENST00000374198
ENSG00000136869,ENST00000355622
ENSG00000106804,ENST00000223642
ENSG00000136854,ENST00000373299
ENSG00000136877,ENST00000373225
ENSG00000106976,ENST00000341179
ENSG00000197694,ENST00000358161
ENSG00000136827,ENST00000351698
ENSG00000097007,ENST00000318560
ENSG00000160271,ENST00000372047
ENSG00000160326,ENST00000371897
ENSG00000122140,ENST00000241600
ENSG00000148400,ENST00000277541
ENSG00000107281,ENST00000371600
ENSG00000142082,ENST00000382743
ENSG00000023191,ENST00000354420
ENSG00000214063,ENST00000346501
ENSG00000117984,ENST00000236671
ENSG00000132254,ENST00000254584
ENSG00000132275,ENST00000254605
ENSG00000166333,ENST00000299421
ENSG00000070081,ENST00000323688
ENSG00000121691,ENST00000241052
ENSG00000110435,ENST00000227868
ENSG00000026508,ENST00000263398
ENSG00000175220,ENST00000311956
ENSG00000165912,ENST00000298838
ENSG00000134574,ENST00000256996
ENSG00000156587,ENST00000287156
ENSG00000198561,ENST00000358694
ENSG00000110104,ENST00000227520
ENSG00000110108,ENST00000227525
ENSG00000149499,ENST00000278845
ENSG00000149782,ENST00000279230
ENSG00000002330,ENST00000309032
ENSG00000014216,ENST00000279247
ENSG00000175602,ENST00000312579
ENSG00000175592,ENST00000312562
ENSG00000175550,ENST00000312515
ENSG00000174684,ENST00000311181
ENSG00000172613,ENST00000307980
ENSG00000175482,ENST00000312419
ENSG00000132740,ENST00000255078
ENSG00000110092,ENST00000227507
ENSG00000085733,ENST00000301843
ENSG00000158555,ENST00000336898
ENSG00000182704,ENST00000333090
ENSG00000149269,ENST00000278568
ENSG00000137509,ENST00000313010
ENSG00000074266,ENST00000263360
ENSG00000150687,ENST00000280258
ENSG00000166037,ENST00000325486
ENSG00000110330,ENST00000227758
ENSG00000196611,ENST00000315274
ENSG00000110660,ENST00000265836
ENSG00000178105,ENST00000322536
ENSG00000086827,ENST00000200135
ENSG00000137700,ENST00000330775
ENSG00000149428,ENST00000404233
ENSG00000172375,ENST00000336702
ENSG00000196914,ENST00000356641
ENSG00000109971,ENST00000227378
ENSG00000149554,ENST00000278916
ENSG00000134954,ENST00000319397
ENSG00000173848,ENST00000355029
ENSG00000065675,ENST00000263125
ENSG00000107485,ENST00000346208
ENSG00000148429,ENST00000277575
ENSG00000152464,ENST00000378197
